"","name","count"
"890","theres much",20
"891","everyone came",17
"892","hope great",35
"893","next couple",12
"894","thanks everyone",36
"895","can walk",11
"896","sorry im",19
"897","please contact",16
"898","the rest",26
"899","keep going",31
"900","favorite part",18
"901","great thanks",12
"902","will good",20
"903","gonna make",15
"904","make much",12
"905","much longer",20
"906","i kinda",19
"907","west virginia",19
"908","can still",69
"909","still get",29
"910","ohio state",39
"911","know ill",13
"912","getting back",25
"913","five minutes",27
"914","havent done",11
"915","haha i",63
"916","i agree",89
"917","good life",14
"918","want hear",29
"919","first day",78
"920","thank support",12
"921","we love",64
"922","eye contact",14
"923","i better",40
"924","im not",15
"925","thinking i",35
"926","feel need",18
"927","people feel",18
"928","why people",18
"929","hair i",13
"930","if live",14
"931","will present",12
"932","let us",109
"933","sounded like",11
"934","hope see",58
"935","know really",15
"936","rt you",20
"937","i wanna",99
"938","call us",23
"939","one big",23
"940","still lot",14
"941","day im",21
"942","im loving",15
"943","its beautiful",25
"944","its time",44
"945","mad men",12
"946","game i",41
"947","guess im",15
"948","i missed",56
"949","just woke",17
"950","what favorite",26
"951","taken care",12
"952","right next",25
"953","will next",15
"954","little late",14
"955","work today",27
"956","the end",22
"957","favorite thing",13
"958","my favorite",39
"959","going start",23
"960","new series",11
"961","whole new",22
"962","rt hey",20
"963","we go",20
"964","always good",29
"965","even one",24
"966","my husband",27
"967","one time",76
"968","following i",14
"969","i look",141
"970","thanks following",84
"971","four games",16
"972","state local",20
"973","ill follow",15
"974","go away",39
"975","last week",291
"976","i idea",75
"977","i went",196
"978","said one",37
"979","i shocked",13
"980","trying figure",37
"981","look one",11
"982","you look",13
"983","hate people",28
"984","come home",39
"985","might get",24
"986","went well",19
"987","next step",31
"988","new follower",13
"989","collective bargaining",12
"990","can say",69
"991","like ive",17
"992","ever i",18
"993","people really",17
"994","really need",51
"995","so excited",71
"996","going well",30
"997","dont worry",58
"998","last night",355
"999","april fools",16
"1000","back game",13
"1001","two i",16
"1002","love like",19
"1003","youre just",22
"1004","time make",21
"1005","get involved",20
"1006","try get",52
"1007","u get",41
"1008","get way",27
"1009","hope well",24
"1010","get follow",14
"1011","never made",17
"1012","years ago",350
"1013","good idea",56
"1014","like good",41
"1015","seemed like",40
"1016","can use",69
"1017","blah blah",25
"1018","go one",15
"1019","wish i",201
"1020","never mind",24
"1021","i may",112
"1022","may even",21
"1023","yep i",14
"1024","after i",24
"1025","i joined",16
"1026","i needed",86
"1027","look great",12
"1028","happy valentines",12
"1029","valentines day",43
"1030","know many",24
"1031","just something",20
"1032","i i",159
"1033","made difference",18
"1034","took one",12
"1035","really excited",20
"1036","found i",15
"1037","just found",34
"1038","end season",16
"1039","trying keep",11
"1040","thanks ff",26
"1041","i passed",13
"1042","word i",21
"1043","im excited",67
"1044","just cant",51
"1045","all day",21
"1046","day just",18
"1047","got great",26
"1048","part i",31
"1049","nice see",22
"1050","good music",12
"1051","have great",89
"1052","it good",29
"1053","senior year",18
"1054","face i",13
"1055","ill make",28
"1056","old fashioned",15
"1057","day well",11
"1058","do i",47
"1059","i deserve",16
"1060","i personally",18
"1061","think id",16
"1062","doesnt like",15
"1063","like people",18
"1064","but i",356
"1065","i really",432
"1066","really want",82
"1067","new book",26
"1068","take look",38
"1069","when someone",14
"1070","stuff i",30
"1071","wine tasting",12
"1072","nothing like",55
"1073","even though",203
"1074","one can",64
"1075","only one",13
"1076","do know",25
"1077","funny thing",18
"1078","never change",14
"1079","its like",71
"1080","i happy",61
"1081","know like",31
"1082","like know",23
"1083","wed like",12
"1084","whats happening",17
"1085","best time",23
"1086","following back",19
"1087","time year",45
"1088","great work",26
"1089","i couldnt",110
"1090","i thought",414
"1091","read i",39
"1092","several years",59
"1093","day one",19
"1094","left right",17
"1095","they want",17
"1096","can help",105
"1097","someone can",15
"1098","well get",29
"1099","people think",38
"1100","always loved",15
"1101","really enjoy",18
"1102","lot fun",31
"1103","how many",63
"1104","i work",74
"1105","able get",46
"1106","past three",15
"1107","three hours",19
"1108","wait get",28
"1109","knew i",60
"1110","now lol",23
"1111","im so",13
"1112","so proud",18
"1113","guy i",27
"1114","short time",21
"1115","since s",19
"1116","know im",89
"1117","time day",19
"1118","hope will",24
"1119","april th",27
"1120","wanna get",18
"1121","take picture",17
"1122","day but",11
"1123","like right",14
"1124","but theres",28
"1125","now but",17
"1126","will work",40
"1127","can pick",16
"1128","never say",20
"1129","nothing i",32
"1130","can come",36
"1131","welcome home",11
"1132","wells fargo",21
"1133","act like",39
"1134","i tell",64
"1135","they really",19
"1136","to see",12
"1137","happy easter",30
"1138","now go",20
"1139","oh wait",24
"1140","bro i",13
"1141","sure i",108
"1142","i notice",11
"1143","what i",117
"1144","good i",72
"1145","spending time",34
"1146","ive seen",60
"1147","that one",13
"1148","i decided",157
"1149","king jr",15
"1150","luther king",24
"1151","martin luther",24
"1152","fell asleep",21
"1153","in the",63
"1154","the first",150
"1155","it might",28
"1156","might go",12
"1157","he really",11
"1158","really good",109
"1159","think im",79
"1160","can move",14
"1161","the bottom",14
"1162","it really",51
"1163","really hard",34
"1164","just make",36
"1165","well take",19
"1166","credit card",32
"1167","got first",16
"1168","help i",22
"1169","really needs",11
"1170","just finished",68
"1171","for reason",25
"1172","much easier",38
"1173","things i",132
"1174","i feeling",32
"1175","wanna go",46
"1176","like fun",14
"1177","whos going",15
"1178","twitter followers",12
"1179","next one",27
"1180","one another",48
"1181","ive never",73
"1182","never one",11
"1183","the big",31
"1184","today the",18
"1185","see doctor",13
"1186","i thrilled",13
"1187","might even",22
"1188","us today",18
"1189","were looking",12
"1190","get free",34
"1191","great job",68
"1192","think great",15
"1193","very cool",16
"1194","it nice",22
"1195","get ready",62
"1196","today get",11
"1197","im love",16
"1198","love i",89
"1199","love im",19
"1200","just started",37
"1201","people cant",13
"1202","thanks guys",12
"1203","twitter i",16
"1204","what u",13
"1205","rt we",16
"1206","years back",12
"1207","just go",43
"1208","gonna miss",11
"1209","everyone else",53
"1210","needed help",11
"1211","one man",25
"1212","pick one",13
"1213","start thinking",11
"1214","r u",53
"1215","people go",19
"1216","i imagine",26
"1217","higher education",26
"1218","pay bills",12
"1219","you mean",11
"1220","get paid",24
"1221","behind scenes",15
"1222","friday i",19
"1223","u know",49
"1224","me i",22
"1225","out of",12
"1226","like best",16
"1227","a little",34
"1228","also said",63
"1229","she also",51
"1230","im tired",47
"1231","i excited",37
"1232","get tired",12
"1233","great stuff",11
"1234","never get",39
"1235","ya know",17
"1236","question i",21
"1237","i spend",28
"1238","really dont",40
"1239","spend time",61
"1240","facebook twitter",21
"1241","people just",37
"1242","birthday i",21
"1243","happen i",17
"1244","i promise",37
"1245","i good",43
"1246","i liked",55
"1247","think ive",19
"1248","whether i",21
"1249","didnt come",13
"1250","i worked",42
"1251","think youre",18
"1252","just keep",33
"1253","twitter feed",12
"1254","u just",13
"1255","st louis",264
"1256","starting get",18
"1257","also love",14
"1258","all i",54
"1259","say thank",15
"1260","this first",38
"1261","haha yeah",17
"1262","oh well",69
"1263","can start",23
"1264","dont really",27
"1265","baby i",15
"1266","i saw",202
"1267","good time",70
"1268","hope good",17
"1269","i talking",22
"1270","friend i",32
"1271","i hear",98
"1272","got call",13
"1273","ha ha",33
"1274","like lot",19
"1275","admit i",34
"1276","i admit",40
"1277","watching tv",23
"1278","cool i",27
"1279","know someone",16
"1280","someone just",14
"1281","thats cool",12
"1282","follow follow",16
"1283","follow please",33
"1284","im great",16
"1285","thats awesome",34
"1286","cant go",28
"1287","college education",11
"1288","school i",51
"1289","so im",35
"1290","see tonight",14
"1291","end month",17
"1292","i forgot",42
"1293","oh im",16
"1294","one day",203
"1295","can save",15
"1296","i fear",11
"1297","tomorrow morning",23
"1298","wait go",14
"1299","amount time",20
"1300","the amount",11
"1301","dick clark",19
"1302","lost one",12
"1303","rest peace",11
"1304","go home",61
"1305","i blame",12
"1306","best friends",51
"1307","get see",33
"1308","ill get",28
"1309","see one",26
"1310","whole world",25
"1311","good one",48
"1312","one right",14
"1313","think good",16
"1314","i figure",16
"1315","anyone know",44
"1316","going long",13
"1317","still going",29
"1318","love life",13
"1319","take advantage",32
"1320","just heard",28
"1321","on the",26
"1322","close home",12
"1323","i back",17
"1324","too bad",26
"1325","heart i",14
"1326","the company",53
"1327","im good",43
"1328","make laugh",15
"1329","didnt know",98
"1330","still alive",14
"1331","come see",49
"1332","steve jobs",20
"1333","glad hear",19
"1334","that moment",17
